"Type","UserPrincipalName","DisplayName","Alias","PrimarySmtpAddress","ItemCount","TotalItemSizeMB","DeletedItemCount","TotalDeletedItemSizeMB","Archive","ArchiveDisplayName","ArchiveItemCount","ArchiveTotalItemSizeMB","ArchiveDeletedItemCount","ArchiveTotalDeletedItemSizeMB","WhenCreatedUTC","WhenChangedUTC","LastLogonTime","EmailAddresses","LitigationHoldEnabled","LitigationHoldDuration","InPlaceHolds","RetentionPolicy","RetentionHoldEnabled","StartDateForRetentionHold","EndDateForRetentionHold","AccountSKU","Guid"
"UserMailbox","AdeleV@M365EDU669627.OnMicrosoft.com","Adele Vance","7cc0fbb1-3ea6-4dba-8592-2ff617118c87","AdeleV@M365EDU669627.OnMicrosoft.com","75","1","0","0","None",,,,,,"24/06/2025 15:31:37","06/08/2025 02:49:36","24/06/2025 16:56:17","SPO:SPO_b883e1b0-7181-4cfb-a352-c44b0b80a603@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SIP:adelev@m365edu669627.onmicrosoft.com,SMTP:AdeleV@M365EDU669627.OnMicrosoft.com","False","Unlimited","","Default MRM Policy","False",,,"","b1a1aa9a-56bc-47fc-8901-9c3b5755e76d"
"UserMailbox","admin@M365EDU669627.onmicrosoft.com","System Administrator","09f00f72-75ae-4719-a902-0ed029649448","admin@M365EDU669627.onmicrosoft.com","210","14","0","0","None",,,,,,"24/06/2025 15:31:38","09/07/2025 09:10:06","09/07/2025 11:53:52","SPO:SPO_0965f5ca-515b-4552-85e1-363e2f206c87@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SIP:admin@m365edu669627.onmicrosoft.com,SMTP:admin@M365EDU669627.onmicrosoft.com","False","Unlimited","","Default MRM Policy","False",,,"","4df9ab01-f226-4db1-a586-82942d566fce"
"UserMailbox","AlexW@M365EDU669627.OnMicrosoft.com","Alex Wilber","8a76e930-80d4-435d-8aa3-30c8bad2a787","AlexW@M365EDU669627.OnMicrosoft.com","66","1","0","0","None",,,,,,"24/06/2025 15:31:39","09/07/2025 09:10:06",,"SPO:SPO_9e8eb95b-e52c-465e-a32f-9a7753be2f07@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SIP:alexw@m365edu669627.onmicrosoft.com,SMTP:AlexW@M365EDU669627.OnMicrosoft.com","False","Unlimited","","Default MRM Policy","False",,,"","2717c5bc-d283-4966-9658-d25d8b9b6aef"
"UserMailbox","AlF@M365EDU669627.OnMicrosoft.com","Al Fredrickson","5686b721-726f-4442-b0aa-5392ccdd9d4f","AlF@M365EDU669627.OnMicrosoft.com","97","1","0","0","None",,,,,,"24/06/2025 15:31:38","09/07/2025 09:10:06",,"SPO:SPO_acd48133-4d14-4afa-8f6b-dc5d9b471f95@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SIP:alf@m365edu669627.onmicrosoft.com,SMTP:AlF@M365EDU669627.OnMicrosoft.com","False","Unlimited","","Default MRM Policy","False",,,"","53f8844d-9055-4f84-8bb9-5116d8fed1bc"
"UserMailbox","AlfonsoC@M365EDU669627.OnMicrosoft.com","Alfonso Camara","0c8bc475-9249-48e7-8aa1-e676a82fd0bd","AlfonsoC@M365EDU669627.OnMicrosoft.com","83","1","0","0","None",,,,,,"24/06/2025 15:31:38","03/08/2025 10:17:45",,"SIP:alfonsoc@m365edu669627.onmicrosoft.com,SMTP:AlfonsoC@M365EDU669627.OnMicrosoft.com","False","Unlimited","","Default MRM Policy","False",,,"","a8bcdd8a-f951-45e5-ba2a-8e673fd8ab21"
"UserMailbox","AllanD@M365EDU669627.OnMicrosoft.com","Allan Deyoung","9e583986-c721-4bd7-91de-c61e9e5d47e7","AllanD@M365EDU669627.OnMicrosoft.com","146","11","0","0","None",,,,,,"24/06/2025 15:31:38","07/08/2025 10:19:58","24/06/2025 16:56:27","SIP:alland@m365edu669627.onmicrosoft.com,SMTP:AllanD@M365EDU669627.OnMicrosoft.com","False","Unlimited","","Default MRM Policy","False",,,"","5395497d-f448-47bb-a4ad-f55329d3f467"
"UserMailbox","ArdenA@M365EDU669627.OnMicrosoft.com","Arden Asher","2433b093-dcf0-4625-b359-5e0a6ee27a34","ArdenA@M365EDU669627.OnMicrosoft.com","105","2","0","0","None",,,,,,"24/06/2025 15:31:38","09/07/2025 09:10:06","24/06/2025 16:56:03","SPO:SPO_0461b3c5-d35f-49b3-b174-7c91b6ecad76@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SIP:ardena@m365edu669627.onmicrosoft.com,SMTP:ArdenA@M365EDU669627.OnMicrosoft.com","False","Unlimited","","Default MRM Policy","False",,,"","7c4405dd-365f-484a-9d52-88df19b88241"
"UserMailbox","AshleyK@M365EDU669627.OnMicrosoft.com","Ashley Kozak","816b7719-a511-4d38-b850-e07f4cf1db9d","AshleyK@M365EDU669627.OnMicrosoft.com","94","2","0","0","None",,,,,,"24/06/2025 15:31:37","09/07/2025 09:10:06","24/06/2025 18:53:17","SPO:SPO_427e46cf-fb05-4e2f-a045-405c53b1ab56@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SIP:ashleyk@m365edu669627.onmicrosoft.com,SMTP:AshleyK@M365EDU669627.OnMicrosoft.com","False","Unlimited","","Default MRM Policy","False",,,"","17023c20-59e1-4871-b9d6-1402ccb3f08d"
"UserMailbox","BrockG@M365EDU669627.OnMicrosoft.com","Brock Guess","640842f9-09fb-4f92-92e9-7e3bd843f16a","BrockG@M365EDU669627.OnMicrosoft.com","87","1","0","0","None",,,,,,"24/06/2025 15:31:39","09/07/2025 09:10:06",,"SIP:brockg@m365edu669627.onmicrosoft.com,SMTP:BrockG@M365EDU669627.OnMicrosoft.com","False","Unlimited","","Default MRM Policy","False",,,"","447fca2d-b7f9-4efe-be9c-c8064d7cf17d"
"UserMailbox","CaraC@M365EDU669627.OnMicrosoft.com","Cara Coleman","a9e2ac52-2026-4ffe-8d92-5fdc5e7ba3dc","CaraC@M365EDU669627.OnMicrosoft.com","168","5","0","0","None",,,,,,"24/06/2025 15:31:38","09/07/2025 09:10:06","24/06/2025 21:26:08","SPO:SPO_681ad1cb-d2ed-441a-8eb9-c3117fd5451b@SPO_2564937f-4dec-4afa-a542-78c8dd2907c1,SIP:carac@m365edu669627.onmicrosoft.com,SMTP:CaraC@M365EDU669627.OnMicrosoft.com","False","Unlimited","","Default MRM Policy","False",,,"","e6a3bf54-f107-4778-b60c-faf1cc773a29"
